code,episode_start,max_gain_pct,peak_signal_date,search_window_from,search_window_to,code4_searchable
219A0,20250701,35.7,20250702,20250602,20250630,new-style
25860,20250701,47.7,20250702,20250602,20250630,yes
27260,20250701,45.9,20250708,20250602,20250630,yes
341A0,20250701,42.9,20250707,20250602,20250630,new-style
34980,20250701,33.1,20250703,20250602,20250630,yes
39050,20250701,117.6,20250702,20250602,20250630,yes
45060,20250701,46.6,20250702,20250602,20250630,yes
45520,20250701,40.4,20250701,20250602,20250630,yes
45930,20250701,57.9,20250702,20250602,20250630,yes
48890,20250701,68.9,20250702,20250602,20250630,yes
49350,20250701,116.8,20250703,20250602,20250630,yes
55970,20250701,61.9,20250707,20250602,20250630,yes
58030,20250702,58.9,20250714,20250603,20250701,yes
52550,20250703,71.9,20250707,20250604,20250702,yes
52620,20250704,48.6,20250806,20250605,20250703,yes
57060,20250704,74.0,20250718,20250605,20250703,yes
69460,20250704,33.9,20250704,20250605,20250703,yes
58010,20250707,40.2,20250707,20250606,20250704,yes
65040,20250707,44.9,20250718,20250606,20250704,yes
77770,20250707,33.0,20250707,20250606,20250704,yes
70030,20250709,48.1,20250716,20250610,20250708,yes
95090,20250710,52.3,20250716,20250611,20250709,yes
60160,20250711,49.5,20250718,20250612,20250710,yes
95010,20250711,40.6,20250716,20250612,20250710,yes
99840,20250711,58.1,20250716,20250612,20250710,yes
51010,20250714,33.4,20250714,20250613,20250711,yes
63680,20250714,31.0,20250714,20250613,20250711,yes
67530,20250714,36.7,20250715,20250613,20250711,yes
58380,20250715,34.6,20250717,20250616,20250714,yes
90640,20250715,32.1,20250722,20250616,20250714,yes
39940,20250716,34.2,20250718,20250617,20250715,yes
75500,20250716,33.3,20250716,20250617,20250715,yes
81360,20250716,38.3,20250717,20250617,20250715,yes
276A0,20250717,53.3,20250718,20250618,20250716,new-style
50160,20250717,62.6,20250804,20250618,20250716,yes
57210,20250717,154.8,20250813,20250618,20250716,yes
62540,20250717,41.3,20250717,20250618,20250716,yes
325A0,20250718,37.2,20250730,20250619,20250717,new-style
65730,20250722,31.5,20250723,20250620,20250718,yes
67870,20250725,33.5,20250730,20250625,20250724,yes
68140,20250725,32.6,20250804,20250625,20250724,yes
247A0,20250729,38.3,20250812,20250627,20250728,new-style
57260,20250729,69.9,20250801,20250627,20250728,yes
54820,20250730,30.7,20250730,20250630,20250729,yes
57270,20250731,30.2,20250731,20250701,20250730,yes
218A0,20250801,40.3,20250822,20250702,20250731,new-style
23340,20250801,119.4,20250805,20250702,20250731,yes
72730,20250801,70.3,20250805,20250702,20250731,yes
87460,20250801,76.7,20250804,20250702,20250731,yes
27430,20250805,42.6,20250807,20250704,20250804,yes
285A0,20250807,140.7,20250904,20250708,20250806,new-style
155A0,20250808,42.8,20250808,20250709,20250807,new-style
31100,20250818,33.4,20250818,20250716,20250815,yes
67400,20250819,76.5,20250819,20250717,20250818,yes
40040,20250820,56.7,20250904,20250718,20250819,yes
65250,20250820,84.5,20250904,20250718,20250819,yes
68570,20250820,59.7,20250904,20250718,20250819,yes
68710,20250820,56.8,20250904,20250718,20250819,yes
63150,20250821,46.0,20250822,20250722,20250820,yes
65900,20250821,65.3,20250916,20250722,20250820,yes
77310,20250821,31.3,20250821,20250722,20250820,yes
69200,20250822,53.8,20251003,20250723,20250821,yes
80350,20250822,52.2,20250904,20250723,20250821,yes
21580,20250825,42.2,20250827,20250724,20250822,yes
82330,20250826,30.3,20250826,20250725,20250825,yes
34360,20250902,41.6,20250904,20250801,20250901,yes
40620,20250902,59.7,20251002,20250801,20250901,yes
61460,20250902,42.2,20250909,20250801,20250901,yes
63230,20250902,50.7,20250904,20250801,20250901,yes
77290,20250902,36.1,20250904,20250801,20250901,yes
77350,20250902,38.5,20250904,20250801,20250901,yes
99840,20250903,51.3,20250909,20250804,20250902,yes
45920,20250903,57.7,20250910,20250804,20250902,yes
59850,20250903,34.8,20250909,20250804,20250902,yes
36920,20250904,74.7,20250918,20250805,20250903,yes
65060,20250904,44.3,20250926,20250805,20250903,yes
65070,20250904,44.4,20250904,20250805,20250903,yes
70130,20250904,36.6,20250908,20250805,20250903,yes
58030,20250909,49.6,20251002,20250808,20250908,yes
68140,20250909,73.5,20250922,20250808,20250908,yes
45860,20250909,55.8,20250924,20250808,20250908,yes
63240,20250909,34.9,20250909,20250808,20250908,yes
63610,20250909,30.1,20250909,20250808,20250908,yes
63300,20250918,91.8,20250924,20250819,20250917,yes
82670,20250922,39.1,20251002,20250821,20250919,yes
338A0,20250924,39.3,20250924,20250822,20250922,new-style
70140,20250924,67.5,20251002,20250822,20250922,yes
70030,20250926,52.7,20251002,20250826,20250925,yes
61770,20250926,32.5,20250926,20250826,20250925,yes
77210,20250926,38.3,20251002,20250826,20250925,yes
37470,20250929,39.4,20250929,20250827,20250926,yes
31100,20251001,105.4,20251022,20250829,20250930,yes
59910,20251001,33.7,20251001,20250829,20250930,yes
77110,20251001,90.6,20251003,20250829,20250930,yes
77460,20251001,83.0,20251002,20250829,20250930,yes
247A0,20251002,36.4,20251002,20250901,20251001,new-style
58020,20251002,46.6,20251017,20250901,20251001,yes
65010,20251002,36.4,20251002,20250901,20251001,yes
